   Replicate SampleStep Sample Dilution Dose          Z Response  I
1          1        T:3      T        3    3  0.0000000 23.40000  1
2          2        T:3      T        3    3  0.0000000 23.40000  2
3          3        T:3      T        3    3  0.0000000 22.90000  3
4          4        T:3      T        3    3  0.0000000 23.40000  4
5          5        T:3      T        3    3  0.0000000 23.20000  5
6          6        T:3      T        3    3  0.0000000 22.90000  6
7          1        T:2      T        2    2 -0.8109302 21.70000  7
8          2        T:2      T        2    2 -0.8109302 22.00000  8
9          3        T:2      T        2    2 -0.8109302 22.10000  9
10         4        T:2      T        2    2 -0.8109302 21.78116 10
11         5        T:2      T        2    2 -0.8109302 21.50000 11
12         6        T:2      T        2    2 -0.8109302 21.70000 12
13         1        T:1      T        1    1 -1.6218604 19.61594 13
14         2        T:1      T        1    1 -1.6218604 19.90000 14
15         3        T:1      T        1    1 -1.6218604 19.70000 15
16         4        T:1      T        1    1 -1.6218604 19.20000 16
17         5        T:1      T        1    1 -1.6218604 19.70000 17
18         6        T:1      T        1    1 -1.6218604 19.30000 18
19         1        S:3      S        3    3  0.0000000 23.30000 19
20         2        S:3      S        3    3  0.0000000 23.30000 20
21         3        S:3      S        3    3  0.0000000 23.40000 21
22         4        S:3      S        3    3  0.0000000 22.90000 22
23         5        S:3      S        3    3  0.0000000 23.10000 23
24         6        S:3      S        3    3  0.0000000 22.90000 24
25         1        S:2      S        2    2 -0.8109302 21.33913 25
26         2        S:2      S        2    2 -0.8109302 21.30000 26
27         3        S:2      S        2    2 -0.8109302 21.10000 27
28         4        S:2      S        2    2 -0.8109302 21.40000 28
29         5        S:2      S        2    2 -0.8109302 21.50000 29
30         6        S:2      S        2    2 -0.8109302 21.11594 30
31         1        S:1      S        1    1 -1.6218604 19.60000 31
32         2        S:1      S        1    1 -1.6218604 19.30000 32
33         3        S:1      S        1    1 -1.6218604 19.90000 33
34         4        S:1      S        1    1 -1.6218604 19.90000 34
35         5        S:1      S        1    1 -1.6218604 19.60000 35
36         6        S:1      S        1    1 -1.6218604 19.70000 36
